"SiteID","DepthClass","Depth","source","x","y"
"2","BR",0,"SSURGO",-109.825735376098,43.2742211660626
"3","BR",0,"SSURGO",-110.15781348486,43.2706982653496
"4","BR",0,"SSURGO",-109.836021511069,43.1538629503771
"5","BR",0,"SSURGO",-109.857477584642,43.1329117690577
"6","BR",0,"SSURGO",-109.704344444312,43.0375967232987
"7","BR",0,"SSURGO",-109.494021864258,42.997230839788
"8","BR",0,"SSURGO",-109.794824732295,43.2426252845187
"9","BR",0,"SSURGO",-110.129639387063,43.3204491538776
"10","BR",0,"SSURGO",-109.812632606336,43.2210118072975
"11","BR",0,"SSURGO",-109.902700125322,43.224300056192
"12","BR",0,"SSURGO",-109.910784941665,43.185356274062
"13","BR",0,"SSURGO",-109.778778603691,43.2384606716759
"14","BR",0,"SSURGO",-110.150327826936,43.265224950653
"15","BR",0,"SSURGO",-109.744709661377,43.2445692189832
"16","BR",0,"SSURGO",-110.104152770759,43.2457087628548
"17","BR",0,"SSURGO",-109.515286812121,43.0062579348096
"18","BR",0,"SSURGO",-109.855666688945,43.1481586601206
"19","BR",0,"SSURGO",-109.854605483076,43.1873845682095
"20","BR",0,"SSURGO",-109.902018203319,43.1745584379966
"21","BR",0,"SSURGO",-109.880286161593,43.1760189047291
"22","BR",0,"SSURGO",-110.245803567858,43.3459457542706
"23","BR",0,"SSURGO",-109.701223569708,43.1031878412534
"24","BR",0,"SSURGO",-109.257332257331,42.8132369151364
"25","BR",0,"SSURGO",-109.815569124639,43.3262725949284
"26","BR",0,"SSURGO",-109.809356185942,43.3333414217809
"27","BR",0,"SSURGO",-109.354950194377,42.780691405338
"28","BR",0,"SSURGO",-109.322868290769,42.8265857229451
"29","BR",0,"SSURGO",-109.760821894833,43.0620661102314
"30","BR",0,"SSURGO",-109.7574746671,43.3267031001457
"31","BR",0,"SSURGO",-109.784959118136,43.3396913445544
"32","BR",0,"SSURGO",-109.42259472291,42.9561709842544
"33","BR",0,"SSURGO",-109.915740556643,43.1750510083647
"34","BR",0,"SSURGO",-109.83697840885,43.1892310588802
"35","BR",0,"SSURGO",-109.819552670204,43.2356853451835
"36","BR",0,"SSURGO",-109.907592202421,43.258467977897
"37","BR",0,"SSURGO",-109.760211692395,43.1597252110377
"38","BR",0,"SSURGO",-109.289352055523,42.7814204886167
"39","BR",0,"SSURGO",-109.704149007616,43.0258713924794
"40","BR",0,"SSURGO",-109.712536832306,43.0794230923637
"41","BR",0,"SSURGO",-109.559498469538,42.9992857787609
"42","BR",0,"SSURGO",-109.835649757173,43.1384633806527
"43","BR",0,"SSURGO",-109.711772985436,43.1550081784206
"44","BR",0,"SSURGO",-109.721264768027,43.1369318027068
"45","BR",0,"SSURGO",-109.146488468348,42.7170476122969
"46","BR",0,"SSURGO",-110.139771822141,43.335074286604
"47","BR",0,"SSURGO",-109.905212408493,43.2461061570158
"48","BR",0,"SSURGO",-109.520511824935,42.9627318894848
"49","BR",0,"SSURGO",-110.122220071491,43.3355452150931
"50","BR",0,"SSURGO",-109.446252189735,42.9171420752515
"51","BR",0,"SSURGO",-109.18346568918,42.7294898270622
"52","BR",0,"SSURGO",-109.823083539975,43.3133217547468
"53","BR",0,"SSURGO",-109.874721921269,43.1507861963052
"54","BR",0,"SSURGO",-109.622324520276,43.1211623016054
"55","BR",0,"SSURGO",-109.797743653815,43.1482417669018
"56","BR",0,"SSURGO",-109.923850305901,43.2615749220895
"57","BR",0,"SSURGO",-109.90781997048,43.209324322115
"58","BR",0,"SSURGO",-109.892856475078,43.2237334819215
"59","BR",0,"SSURGO",-109.87258881851,43.2406470415884
"60","BR",0,"SSURGO",-109.862334231137,43.1829069465892
"61","BR",0,"SSURGO",-109.809369659666,43.1778357446094
"62","BR",0,"SSURGO",-109.885634353885,43.1978071638399
"63","BR",0,"SSURGO",-109.800847846863,43.2576203198962
"64","BR",0,"SSURGO",-109.793547847395,43.2875813492015
"65","BR",0,"SSURGO",-109.526223990368,42.9914508076011
"66","BR",0,"SSURGO",-109.801399888828,43.3436381949166
"67","BR",0,"SSURGO",-109.376726109642,42.9065710661155
"68","BR",0,"SSURGO",-109.716313195815,43.209448907011
"69","BR",0,"SSURGO",-109.776689225423,43.3596773479301
"70","BR",0,"SSURGO",-109.913672629614,43.2221042974779
"71","BR",0,"SSURGO",-109.870156753236,43.2264863735841
"72","BR",0,"SSURGO",-110.099027457969,43.2451500579382
"73","BR",0,"SSURGO",-109.874427564087,43.245646954338
"74","BR",0,"SSURGO",-109.181865049593,42.652196045958
"75","BR",0,"SSURGO",-109.295105184164,42.840647804245
"76","BR",0,"SSURGO",-109.8417467231,43.1445440997602
"77","BR",0,"SSURGO",-109.437171770036,42.908180497714
"78","BR",0,"SSURGO",-109.893498632377,43.2178094927379
"79","BR",0,"SSURGO",-109.893260845339,43.263743429284
"80","BR",0,"SSURGO",-109.734603947113,43.3495070705678
"81","BR",0,"SSURGO",-109.463574221895,42.9347680398931
"82","BR",0,"SSURGO",-109.824139047426,43.2598697565918
"83","BR",0,"SSURGO",-109.222995684156,42.7517262035334
"84","BR",0,"SSURGO",-109.905662362094,43.2007476360559
"85","BR",0,"SSURGO",-109.774472160557,43.3232852275179
"86","BR",0,"SSURGO",-109.876303474091,43.2886731391313
"87","BR",0,"SSURGO",-109.263627638409,42.7347255364503
"88","BR",0,"SSURGO",-109.766633179011,43.1894480357618
"89","BR",0,"SSURGO",-109.392446104073,42.8986700860979
"90","BR",0,"SSURGO",-109.329105931702,42.8304570737497
"91","BR",0,"SSURGO",-109.467406197032,42.9830137194762
"92","BR",0,"SSURGO",-109.587369301015,42.9938749958509
"93","BR",0,"SSURGO",-109.741856900552,43.177471699578
